legacy.in_reply_to_user_id_str,legacy.user_id_str,name_csv
1.0454332294136832e+18,2581023949.0,"O PT é tão sacana, que até o padre que foi visitar_dados.csv"
498292566.0,34548117.0,Papa Francisco cancela a Bíblia e propõe criar um _dados.csv
624036196.0,8.868222355156664e+17,Papa Francisco cancela a Bíblia e propõe criar um _dados.csv
624036196.0,1449397832.0,Papa Francisco cancela a Bíblia e propõe criar um _dados.csv
624036196.0,1.18249121075089e+18,Papa Francisco cancela a Bíblia e propõe criar um _dados.csv
624036196.0,8.393486396002755e+17,Papa Francisco cancela a Bíblia e propõe criar um _dados.csv
1.7608127584911073e+18,1.7466173375857705e+18,Papa Francisco cancela a Bíblia e propõe criar um _dados.csv
1.7466173375857705e+18,1.7608127584911073e+18,Papa Francisco cancela a Bíblia e propõe criar um _dados.csv
80306410.0,172674515.0,Papa Francisco cancela a Bíblia e propõe criar um _dados.csv
80306410.0,77790994.0,Papa Francisco cancela a Bíblia e propõe criar um _dados.csv
1.5689446964533903e+18,1.5407430837293548e+18,Papa Francisco cancela a Bíblia e propõe criar um _dados.csv
3087371493.0,853318776.0,Papa Francisco cancela a Bíblia e propõe criar um _dados.csv
853318776.0,3087371493.0,Papa Francisco cancela a Bíblia e propõe criar um _dados.csv
84361799.0,155447912.0,Papa Francisco cancela a Bíblia e propõe criar um _dados.csv
3087371493.0,853318776.0,Papa Francisco cancela a Bíblia e propõe criar um _dados.csv
853318776.0,3087371493.0,Papa Francisco cancela a Bíblia e propõe criar um _dados.csv
622032936.0,77574569.0,Papa Francisco cancela a Bíblia e propõe criar um _dados.csv
622032936.0,1.7476326099731948e+18,Papa Francisco cancela a Bíblia e propõe criar um _dados.csv
622032936.0,1.3291153725330186e+18,Papa Francisco cancela a Bíblia e propõe criar um _dados.csv
622032936.0,1.2461968451115827e+18,Papa Francisco cancela a Bíblia e propõe criar um _dados.csv
622032936.0,219764316.0,Papa Francisco cancela a Bíblia e propõe criar um _dados.csv
622032936.0,1.3203677188649247e+18,Papa Francisco cancela a Bíblia e propõe criar um _dados.csv
1.1403858826771087e+18,302240066.0,Papa Francisco cancela a Bíblia e propõe criar um _dados.csv
1.12995899514445e+18,1.12995899514445e+18,Papa Francisco cancela a Bíblia e propõe criar um _dados.csv
1.2253669445823734e+18,185954590.0,Papa Francisco cancela a Bíblia e propõe criar um _dados.csv
185954590.0,1.2253669445823734e+18,Papa Francisco cancela a Bíblia e propõe criar um _dados.csv
36373308.0,8.133708724509245e+17,Papa Francisco cancela a Bíblia e propõe criar um _dados.csv
36373308.0,272715738.0,Papa Francisco cancela a Bíblia e propõe criar um _dados.csv
150403078.0,8.958149389959578e+17,Papa Francisco cancela a Bíblia e propõe criar um _dados.csv
3400155731.0,3020682688.0,Policiais de 12 estados diz que vão parar em apoio_dados.csv
1.7608127584911073e+18,1.7466173375857705e+18,Policiais de 12 estados diz que vão parar em apoio_dados.csv
1.7466173375857705e+18,1.7608127584911073e+18,Policiais de 12 estados diz que vão parar em apoio_dados.csv
3087371493.0,853318776.0,Policiais de 12 estados diz que vão parar em apoio_dados.csv
155447912.0,18817549.0,Policiais de 12 estados diz que vão parar em apoio_dados.csv
3087371493.0,853318776.0,Policiais de 12 estados diz que vão parar em apoio_dados.csv
853318776.0,3087371493.0,Policiais de 12 estados diz que vão parar em apoio_dados.csv
853318776.0,3087371493.0,Policiais de 12 estados diz que vão parar em apoio_dados.csv
3087371493.0,853318776.0,Policiais de 12 estados diz que vão parar em apoio_dados.csv
1.4759274897425203e+18,1569331158.0,Policiais de 12 estados diz que vão parar em apoio_dados.csv
1.4759274897425203e+18,3875613976.0,Policiais de 12 estados diz que vão parar em apoio_dados.csv
1.4759274897425203e+18,1.7223240869556634e+18,Policiais de 12 estados diz que vão parar em apoio_dados.csv
1.3124349207243284e+18,1.4759274897425203e+18,Policiais de 12 estados diz que vão parar em apoio_dados.csv
1.4759274897425203e+18,1.3124349207243284e+18,Policiais de 12 estados diz que vão parar em apoio_dados.csv
241290841.0,1.7401708359842652e+18,QUEM  A MULHER QUE EMPURROU O PADRE MARCELO ROSSI_dados.csv
182547309.0,201336021.0,QUEM  A MULHER QUE EMPURROU O PADRE MARCELO ROSSI_dados.csv
202861404.0,8.592077424892764e+17,QUEM  A MULHER QUE EMPURROU O PADRE MARCELO ROSSI_dados.csv
3008735475.0,3733087156.0,QUEM  A MULHER QUE EMPURROU O PADRE MARCELO ROSSI_dados.csv
8.887456945085809e+17,62397043.0,Sargento Manoel Silva Rodrigues da comitiva do boz_dados.csv
62397043.0,8.887456945085809e+17,Sargento Manoel Silva Rodrigues da comitiva do boz_dados.csv
1.745303799080579e+18,62397043.0,Sargento Manoel Silva Rodrigues da comitiva do boz_dados.csv
62397043.0,1.745303799080579e+18,Sargento Manoel Silva Rodrigues da comitiva do boz_dados.csv
1.2231733242488873e+18,62397043.0,Sargento Manoel Silva Rodrigues da comitiva do boz_dados.csv
62397043.0,1.2231733242488873e+18,Sargento Manoel Silva Rodrigues da comitiva do boz_dados.csv
204575279.0,62397043.0,Sargento Manoel Silva Rodrigues da comitiva do boz_dados.csv
62397043.0,204575279.0,Sargento Manoel Silva Rodrigues da comitiva do boz_dados.csv
9.639722964435968e+17,331890783.0,"Vos apresento a funcionária protegida pela Globo, Miriam terrorista comunista Leitão! Vulgo Amélia._dados.csv"
9.639722964435968e+17,300667893.0,"Vos apresento a funcionária protegida pela Globo, Miriam terrorista comunista Leitão! Vulgo Amélia._dados.csv"
337974728.0,9.639722964435968e+17,"Vos apresento a funcionária protegida pela Globo, Miriam terrorista comunista Leitão! Vulgo Amélia._dados.csv"
1.0327464274773606e+18,9.639722964435968e+17,"Vos apresento a funcionária protegida pela Globo, Miriam terrorista comunista Leitão! Vulgo Amélia._dados.csv"
9.639722964435968e+17,8.674539487765996e+17,"Vos apresento a funcionária protegida pela Globo, Miriam terrorista comunista Leitão! Vulgo Amélia._dados.csv"
9.639722964435968e+17,8.985816501199831e+17,"Vos apresento a funcionária protegida pela Globo, Miriam terrorista comunista Leitão! Vulgo Amélia._dados.csv"
9.639722964435968e+17,1419020802.0,"Vos apresento a funcionária protegida pela Globo, Miriam terrorista comunista Leitão! Vulgo Amélia._dados.csv"
9.639722964435968e+17,135689007.0,"Vos apresento a funcionária protegida pela Globo, Miriam terrorista comunista Leitão! Vulgo Amélia._dados.csv"
9.639722964435968e+17,201121333.0,"Vos apresento a funcionária protegida pela Globo, Miriam terrorista comunista Leitão! Vulgo Amélia._dados.csv"
36161207.0,9.639722964435968e+17,"Vos apresento a funcionária protegida pela Globo, Miriam terrorista comunista Leitão! Vulgo Amélia._dados.csv"
9.639722964435968e+17,36161207.0,"Vos apresento a funcionária protegida pela Globo, Miriam terrorista comunista Leitão! Vulgo Amélia._dados.csv"
270493978.0,9.639722964435968e+17,"Vos apresento a funcionária protegida pela Globo, Miriam terrorista comunista Leitão! Vulgo Amélia._dados.csv"
8.931282279459348e+17,9.639722964435968e+17,"Vos apresento a funcionária protegida pela Globo, Miriam terrorista comunista Leitão! Vulgo Amélia._dados.csv"
9.639722964435968e+17,8.931282279459348e+17,"Vos apresento a funcionária protegida pela Globo, Miriam terrorista comunista Leitão! Vulgo Amélia._dados.csv"
9.639722964435968e+17,270493978.0,"Vos apresento a funcionária protegida pela Globo, Miriam terrorista comunista Leitão! Vulgo Amélia._dados.csv"
9.639722964435968e+17,1.0327464274773606e+18,"Vos apresento a funcionária protegida pela Globo, Miriam terrorista comunista Leitão! Vulgo Amélia._dados.csv"
9.639722964435968e+17,159661161.0,"Vos apresento a funcionária protegida pela Globo, Miriam terrorista comunista Leitão! Vulgo Amélia._dados.csv"
9.639722964435968e+17,1601693970.0,"Vos apresento a funcionária protegida pela Globo, Miriam terrorista comunista Leitão! Vulgo Amélia._dados.csv"
9.639722964435968e+17,546958099.0,"Vos apresento a funcionária protegida pela Globo, Miriam terrorista comunista Leitão! Vulgo Amélia._dados.csv"
9.639722964435968e+17,28708842.0,"Vos apresento a funcionária protegida pela Globo, Miriam terrorista comunista Leitão! Vulgo Amélia._dados.csv"
9.639722964435968e+17,1.1337311994390036e+18,"Vos apresento a funcionária protegida pela Globo, Miriam terrorista comunista Leitão! Vulgo Amélia._dados.csv"
9.639722964435968e+17,30585720.0,"Vos apresento a funcionária protegida pela Globo, Miriam terrorista comunista Leitão! Vulgo Amélia._dados.csv"
9.639722964435968e+17,337974728.0,"Vos apresento a funcionária protegida pela Globo, Miriam terrorista comunista Leitão! Vulgo Amélia._dados.csv"
9.639722964435968e+17,1.0956438627003146e+18,"Vos apresento a funcionária protegida pela Globo, Miriam terrorista comunista Leitão! Vulgo Amélia._dados.csv"
9.639722964435968e+17,68219264.0,"Vos apresento a funcionária protegida pela Globo, Miriam terrorista comunista Leitão! Vulgo Amélia._dados.csv"
9.639722964435968e+17,89007596.0,"Vos apresento a funcionária protegida pela Globo, Miriam terrorista comunista Leitão! Vulgo Amélia._dados.csv"
9.639722964435968e+17,1002768415.0,"Vos apresento a funcionária protegida pela Globo, Miriam terrorista comunista Leitão! Vulgo Amélia._dados.csv"
9.639722964435968e+17,75885233.0,"Vos apresento a funcionária protegida pela Globo, Miriam terrorista comunista Leitão! Vulgo Amélia._dados.csv"
9.639722964435968e+17,57510917.0,"Vos apresento a funcionária protegida pela Globo, Miriam terrorista comunista Leitão! Vulgo Amélia._dados.csv"
9.639722964435968e+17,1.061752926882988e+18,"Vos apresento a funcionária protegida pela Globo, Miriam terrorista comunista Leitão! Vulgo Amélia._dados.csv"
9.639722964435968e+17,2951277237.0,"Vos apresento a funcionária protegida pela Globo, Miriam terrorista comunista Leitão! Vulgo Amélia._dados.csv"
9.639722964435968e+17,2601848468.0,"Vos apresento a funcionária protegida pela Globo, Miriam terrorista comunista Leitão! Vulgo Amélia._dados.csv"
9.639722964435968e+17,7.170078920843633e+17,"Vos apresento a funcionária protegida pela Globo, Miriam terrorista comunista Leitão! Vulgo Amélia._dados.csv"
9.639722964435968e+17,9.701071910709862e+17,"Vos apresento a funcionária protegida pela Globo, Miriam terrorista comunista Leitão! Vulgo Amélia._dados.csv"
9.639722964435968e+17,68505085.0,"Vos apresento a funcionária protegida pela Globo, Miriam terrorista comunista Leitão! Vulgo Amélia._dados.csv"
9.639722964435968e+17,36161207.0,"Vos apresento a funcionária protegida pela Globo, Miriam terrorista comunista Leitão! Vulgo Amélia._dados.csv"
9.639722964435968e+17,36161207.0,"Vos apresento a funcionária protegida pela Globo, Miriam terrorista comunista Leitão! Vulgo Amélia._dados.csv"
36161207.0,9.639722964435968e+17,"Vos apresento a funcionária protegida pela Globo, Miriam terrorista comunista Leitão! Vulgo Amélia._dados.csv"
8.931282279459348e+17,9.639722964435968e+17,"Vos apresento a funcionária protegida pela Globo, Miriam terrorista comunista Leitão! Vulgo Amélia._dados.csv"
767095274.0,9.639722964435968e+17,"Vos apresento a funcionária protegida pela Globo, Miriam terrorista comunista Leitão! Vulgo Amélia._dados.csv"
